x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,y
-1297.9874,-929.4991,-140.45251,-2785.2576,-960.97546,7198.5283,4305.691,-3379.6794,3979.3914,2178.7566,1938.1272,-3550.2166,1573.3893,-24.172272,2534.0283,633.76044,2235.942,3273.689,4405.472,1713.4224,-514.73065,-763.92413,3.0
-689.6593,1423.946,-338.65155,-6826.689,180.39516,635.4239,3075.089,1986.844,825.3764,3624.9373,-845.9801,492.44174,2814.6938,-337.78616,2841.0144,-924.6097,-524.99054,-1774.0543,1744.5608,1238.2513,765.7282,-987.49567,4.0
638.23175,199.25136,2660.9756,-733.94446,-925.1149,539.08496,5573.4536,3527.0203,3645.167,-4633.124,259.91827,3778.9028,-2679.6948,-2933.5708,5202.9624,-161.27686,-612.16095,5056.4023,368.17123,509.55527,-122.51978,-1336.9185,1.0
-806.7031,-1613.1932,-762.6009,1357.1544,211.11061,3441.7532,5730.5356,616.4586,1156.8729,-451.83716,-925.1637,-2482.9553,3164.804,-750.092,1945.0789,-753.4059,-1803.2179,4184.1655,3241.0706,1106.9034,-578.4138,-4195.126,0.0
-2571.7354,1350.2446,-1523.3872,-5052.6772,537.4076,2915.5056,3404.0107,3640.2698,1093.1992,2857.0132,2934.0776,456.21866,1304.2867,-922.1939,2522.3667,-1322.6514,-569.68695,1561.9088,-1158.6338,1396.9537,2749.9429,-3435.383,4.0
3938.5881,-5425.905,3381.9429,1434.4271,842.5597,3803.926,5218.519,-2450.0312,1440.3862,-2072.715,11.168383,3511.0093,-422.16782,-2180.4075,2216.4324,25.618797,-2323.2468,4704.894,3469.8186,1862.3105,-1532.3362,-4677.5874,1.0
-105.50377,107.58541,-2804.557,-2346.908,2342.6663,5100.9614,4881.4155,3750.384,2241.6357,-286.4899,2508.379,487.51956,782.4621,-216.38864,3163.7166,-2431.8896,748.4926,868.0793,-754.9175,-890.2953,1954.3232,-4125.5195,0.0
-434.2786,995.0678,1492.8691,-1907.4733,-1134.1996,2030.3446,3341.745,2057.9644,1067.9862,110.28848,485.89502,172.81467,3860.5513,-502.8055,3103.8115,117.434654,-978.56854,1118.6432,1861.2733,437.7922,2019.2094,-2252.9275,2.0
3509.1167,-129.34532,-473.8927,-3298.574,2280.4336,2918.6628,7006.3833,946.0275,913.0269,1782.0463,-695.8626,1412.2653,2268.3064,1298.9625,1882.6527,-2873.5366,-973.0334,3154.951,-2640.624,-771.5972,1348.7789,-1467.6493,3.0
4602.933,906.16174,-1459.614,-2321.173,162.9366,-362.50754,2621.8374,2958.1,2504.6565,1788.2794,-1364.8799,-2476.8813,2008.7047,-3738.6897,4645.675,-5187.4517,-1124.6487,-398.1954,-1060.5526,432.99704,3863.3484,-1237.7317,2.0
